plz,lat,lon,ort
7562,47.008333,16.197777,Eltendorf
7562,47.008333,16.197777,Eltendorf
7562,47.025278,16.213334,Zahling
7561,46.988889,16.260276,Heiligenkreuz im Lafnitztal
7561,46.988889,16.260276,Heiligenkreuz im Lafnitztal
7561,46.9975,16.230278,Poppendorf im Burgenland
"8282,8380",46.937225,16.141665,Jennersdorf
8380,46.95,16.119722,Grieselstein
"8282,8380",46.9830,16.1460,Henndorf im Burgenland
8380,46.937225,16.141665,Jennersdorf
8380,46.943335,16.160555,Rax
8384,46.881667,16.069722,Minihof-Liebau
8384,46.881667,16.069722,Minihof-Liebau
8384,46.862778,16.079444,Tauka
8384,46.890556,16.096111,Windisch - Minihof
8382,46.947778,16.230555,Mogersdorf
8382,46.970556,16.243611,Deutsch Minihof
8382,46.947778,16.230555,Mogersdorf
8382,46.972222,16.233334,Wallendorf
"8384,8385",46.8689,16.02944,Neuhaus am Klausenbach
"8384,8385",46.841944,16.04,Bonisdorf
8385,46.841945,16.01111,Kalch
8385,46.84972,16.028611,Krottendorf bei Neuhaus am Klausenbach
8385,46.8689,16.02944,Neuhaus am Klausenbach
"7564,7571",47.05,16.1225,Rudersdorf
7564,47.021667,16.143334,Dobersdorf
7571,47.0490,16.1225,Rudersdorf
"8350,8380,8383,8384,8385",46.9195,16.135,Sankt Martin an der Raab
8383,46.92056,16.11333,Doiber
8383,46.92111,16.095,Gritsch
8380,46.9269444,16.160278,Neumarkt an der Raab
"8383,8384",46.8890,16.12,Oberdrosen
8383,46.9195,16.135,Sankt Martin an der Raab
"8350,8383,8385",46.92722,16.083056,Welten
8383,46.905278,16.14195,Eisenberg an der Raab
8382,46.9420,16.1875,Weichselbaum
8382,46.970833,16.193889,Krobotek
8382,46.958611,16.1872222,Maria Bild
8382,46.9778,16.208889,Rosendorf
8382,46.9420,16.1875,Weichselbaum
7563,47.005278,16.171389,Königsdorf
7563,47.005278,16.171389,Königsdorf
8385,46.8875,16.039725,Mühlgraben
8385,46.8875,16.039725,Mühlgraben
7021,47.744722,16.490278,Draßburg
7021,47.744722,16.490278,Draßburg
7212,47.714,16.35,Forchtenstein
7212,47.714,16.35,Forchtenstein
7024,47.7861,16.455555,Hirm
7024,47.7861,16.455555,Hirm
7022,47.7,16.473611,Loipersbach im Burgenland
7022,47.6950,16.473611,Loipersbach im Burgenland
7221,47.719444,16.4166667,Marz
7221,47.719444,16.4166667,Marz
7210,47.7333333,16.4333333,Mattersburg
7210,47.7333333,16.4,Mattersburg
7210,47.741667,16.4195,Walbersdorf
7201,47.7945,16.3,Neudörfl
7201,47.7945,16.3,Neudörfl
7023,47.75,16.4333333,Pöttelsdorf
7023,47.7520,16.4340,Pöttelsdorf
"7033,7202",47.8056,16.3708,Pöttsching
"7033,7202",47.8056,16.3708,Pöttsching
7222,47.7088,16.4247,Rohrbach bei Mattersburg
7222,47.7088,16.4247,Rohrbach bei Mattersburg
7202,47.775,16.325,Bad Sauerbrunn
7202,47.775,16.325,Bad Sauerbrunn
7022,47.710833,16.510556,Schattendorf
7022,47.710833,16.510556,Schattendorf
7223,47.649722,16.380556,Sieggraben
7223,47.649722,16.380556,Sieggraben
7032,47.7775,16.395556,Sigleß
7032,47.7775,16.395556,Sigleß
